DATE_REPORTED,WEAPONS,SNA_NEIGHBORHOOD
11/06/2019 11:11:29 PM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",DOWNTOWN
11/06/2019 11:30:00 PM,U - UNKNOWN,OVER-THE-RHINE
11/06/2019 11:45:18 PM,99 - NONE,WESTWOOD
11/07/2019 12:30:00 AM,99 - NONE,EAST PRICE HILL
11/07/2019 12:40:00 AM,99 - NONE,EAST PRICE HILL
11/07/2019 12:44:00 AM,99 - NONE,WINTON HILLS
11/07/2019 12:55:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",SOUTH FAIRMOUNT
11/07/2019 01:09:15 AM,99 - NONE,WALNUT HILLS
11/07/2019 01:31:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",EAST PRICE HILL
11/07/2019 01:44:00 AM,11 - FIREARM (TYPE NOT STATED),EAST WESTWOOD
11/07/2019 01:55:03 AM,99 - NONE,N/A
11/07/2019 04:00:00 AM,99 - NONE,WINTON HILLS
11/07/2019 04:00:00 AM,99 - NONE,WINTON HILLS
11/07/2019 05:20:00 AM,99 - NONE,WINTON HILLS
11/07/2019 06:45:00 AM,99 - NONE,AVONDALE
11/07/2019 06:54:00 AM,99 - NONE,WALNUT HILLS
11/07/2019 06:54:00 AM,99 - NONE,WALNUT HILLS
11/07/2019 06:54:00 AM,99 - NONE,WALNUT HILLS
11/07/2019 07:48:00 AM,U - UNKNOWN,WEST END
11/07/2019 09:00:00 AM,99 - NONE,QUEENSGATE
11/07/2019 09:07:00 AM,99 - NONE,MT. AUBURN
11/07/2019 09:07:00 AM,99 - NONE,WESTWOOD
11/07/2019 09:22:04 AM,99 - NONE,EAST PRICE HILL
11/07/2019 09:55:00 AM,99 - NONE,MT. WASHINGTON
11/07/2019 10:00:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",QUEENSGATE
11/07/2019 10:08:00 AM,99 - NONE,WALNUT HILLS
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 10:32:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 10:32:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:32:00 AM,99 - NONE,N/A
11/07/2019 10:34:00 AM,99 - NONE,WESTWOOD
11/07/2019 10:36:45 AM,99 - NONE,CUF
11/07/2019 10:50:00 AM,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",MADISONVILLE
11/07/2019 10:54:31 AM,99 - NONE,WEST PRICE HILL
11/07/2019 11:00:00 AM,99 - NONE,HYDE PARK
11/07/2019 11:04:38 AM,99 - NONE,CARTHAGE
11/07/2019 11:08:00 AM,99 - NONE,NORTHSIDE
11/07/2019 11:15:00 AM,99 - NONE,WESTWOOD
